# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29023
#@/user_id	Win10-weasel
bo li gan 	剝離感	c=1 d=1 t=7536
bo yi 	博奕	c=2 d=1.00014 t=13503
bo yi lun 	博弈論	c=1 d=1 t=6181
bo zhu 	博主	c=1 d=1 t=4066
bo zi 	脖子	c=2 d=0.501576 t=29023
bu 	不	c=35 d=2.91767 t=28265
bu 	步	c=0 d=0.1 t=18522
bu 	補	c=1 d=1 t=1911
bu 	部	c=1 d=1 t=15814
bu an 	不諳	c=0 d=0.1 t=9118
bu an shi shi 	不諳世事	c=1 d=1 t=9119
bu bao kuo 	不包括	c=1 d=1 t=20799
bu bi 	不必	c=7 d=1.99005 t=26738
bu bi 	不比	c=2 d=1 t=26739
bu bi yao 	不必要	c=1 d=1 t=13538
bu bian 	不變	c=1 d=1 t=28802
bu cheng ren 	不承認	c=1 d=1 t=27989
bu chi 	不吃	c=1 d=1 t=7906
bu chong fen 	不充分	c=1 d=1 t=13270
bu chou 	不愁	c=1 d=1 t=9357
bu chou yan 	不抽菸	c=1 d=1 t=10837
bu chu 	不出	c=0 d=0.1 t=27166
bu chu lai 	不出來	c=1 d=1 t=1241
bu chu qu 	不出去	c=1 d=1 t=20341
bu cun zai 	不存在	c=3 d=1 t=16633
bu cuo 	不錯	c=15 d=1.82121 t=22836
bu da 	不大	c=3 d=1.00001 t=22783
bu da suan 	不打算	c=2 d=1.0022 t=20425
bu da ying 	不答應	c=1 d=1 t=14311
bu dai 	不帶	c=1 d=1 t=3301
bu dan chun 	不單純	c=1 d=1 t=14356
bu dao 	不倒	c=1 d=1 t=1766
bu dao 	不到	c=1 d=1.09802 t=23301
bu dao a 	不到啊	c=1 d=1 t=21116
bu dao wei 	不到位	c=1 d=1 t=14813
bu de 	不得	c=0 d=0.1009 t=18856
bu de bing 	不得病	c=1 d=1 t=18857
bu de bu 	不得不	c=1 d=1 t=17637
bu de bu shuo 	不得不说	c=1 d=1 t=28197
bu de zui ren 	不得罪人	c=1 d=1 t=23410
bu dong 	不動	c=0 d=0.1 t=10642
bu dong 	不懂	c=7 d=1.00452 t=27981
bu dong shou 	不動手	c=1 d=1 t=3565
bu dou shi 	不都是	c=1 d=1 t=19424
bu duan 	不斷	c=2 d=1.97045 t=16410
bu dui 	不對	c=2 d=1 t=13174
bu duo 	不多	c=4 d=1 t=22508
bu duo 	卜度	c=2 d=1.99501 t=14404
bu fa 	步伐	c=2 d=1 t=22923
bu fang bian 	不方便	c=1 d=1 t=8182
bu fen 	部份	c=1 d=1 t=4106
bu gai 	不改	c=1 d=1 t=27987
bu gai 	不該	c=1 d=1 t=8095
bu gai zuo 	不该做	c=1 d=1 t=13622
bu gan 	不敢	c=13 d=1.00463 t=28445
bu gan zuo 	不敢做	c=1 d=1 t=2520
bu gao 	不高	c=4 d=1.01036 t=26941
bu gei 	不给	c=1 d=1 t=15777
bu gen 	不跟	c=1 d=1 t=19384
bu gou 	不夠	c=16 d=1.04056 t=26332
bu gou hao 	不够好	c=1 d=1 t=2704
bu gu 	不顧	c=1 d=1 t=6573
bu guan 	不管	c=14 d=1.00951 t=27130
bu guan le 	不管了	c=5 d=1.03302 t=20739
bu guo 	不過	c=44 d=1.36174 t=29023
bu hao 	不好	c=23 d=0.965857 t=29023
bu hao ba 	不好吧	c=1 d=1 t=3564
bu hao chi 	不好吃	c=1 d=1 t=25928
bu hao de 	不好的	c=1 d=1 t=18922
bu hao hao 	不好好	c=1 d=1 t=6292
bu hao shuo 	不好說	c=1 d=1 t=10750
bu hao wan 	不好玩	c=2 d=1.99005 t=15917
bu he 	不合	c=2 d=1 t=27823
bu he li 	不合理	c=1 d=1 t=14975
bu hui 	不回	c=2 d=1.79852 t=2940
bu hui 	不會	c=28 d=1.37344 t=28596
bu ji de 	不記得	c=2 d=1.00039 t=8768
bu ji de le 	不记得了	c=1 d=1 t=11210
bu jian 	不見	c=0 d=0.1 t=2571
bu jian dan 	不簡單	c=1 d=1 t=6970
bu jian de 	不見得	c=1 d=1 t=20516
bu jie 	不潔	c=0 d=0.1 t=12017
