# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	942
#@/user_id	4fb8f7d9-104e-4807-ad03-13bea3f26262
a 	啊	c=3 d=1.38235 t=942
hen xi huan 	很喜歡	c=1 d=0.273898 t=942
hen zhong yao 	很重要	c=1 d=0.085435 t=942
hou xuan 	候選	c=2 d=1.76269 t=942
hou xuan kuang 	候選框	c=1 d=0.909373 t=942
hou xuan zi 	候選字	c=4 d=3.26994 t=942
hua 	化	c=1 d=0.771052 t=942
hua 	話	c=2 d=0.960153 t=942
huan chong 	緩衝	c=1 d=0.392586 t=942
huan jing 	環境	c=1 d=0.873716 t=942
huan ye 	換頁	c=1 d=0.941765 t=942
huang zhi 	荒置	c=0 d=0.00713613 t=942
huang zhi gao 	荒置高	c=1 d=0.071719 t=942
hui 	會	c=1 d=0.548812 t=942
hui shi 	回事	c=1 d=0.918512 t=942
hun he 	混合	c=1 d=0.900325 t=942
huo dong 	活動	c=2 d=1.12655 t=942
huo zhe 	或者	c=3 d=1.8583 t=942
ji ben 	基本	c=3 d=1.16426 t=942
ji hua 	計劃	c=2 d=0.810618 t=942
ji hua lai 	計劃來	c=1 d=0.431711 t=942
ji hui 	機會	c=2 d=0.366188 t=942
ji huo 	激活	c=3 d=2.68752 t=942
ji mo 	寂寞	c=0 d=0.0882497 t=942
ji shi 	即使	c=1 d=0.213312 t=942
ji shu 	技術	c=0 d=0.00930145 t=942
ji ti 	集體	c=1 d=0.585669 t=942
ji xian 	極限	c=11 d=6.62596 t=942
jia 	夾	c=0 d=0.0771052 t=942
jia bi zhun ze 	夾逼準則	c=1 d=0.774916 t=942
jia chang li duan 	家長裏短	c=1 d=0.763379 t=942
jia mao 	假冒	c=1 d=0.970446 t=942
jian duan 	間斷	c=0 d=0.0860708 t=942
jian duan dian 	間斷點	c=1 d=0.865022 t=942
jiao jiao 	教教	c=1 d=0.0898153 t=942
jie 	介	c=1 d=0.951229 t=942
jie 	階	c=1 d=0.917962 t=942
jie ti 	解題	c=1 d=0.444858 t=942
jin tan 	金壇	c=0 d=0.0985112 t=942
jin tian 	今天	c=3 d=0.539057 t=942
jing guo 	經過	c=1 d=0.402524 t=942
jiu 	就	c=5 d=1.94862 t=942
jiu hui 	就會	c=1 d=0.45612 t=942
jiu shi 	就是	c=1 d=0.155673 t=942
jiu xing 	就行	c=0 d=0.0960789 t=942
jiu xing le 	就行了	c=1 d=0.965605 t=942
jiu yao 	就要	c=1 d=0.185444 t=942
ju bu 	局部	c=2 d=1.12542 t=942
ju you 	具有	c=1 d=0.621885 t=942
jue de 	覺得	c=2 d=1.29727 t=942
kai yuan 	開源	c=1 d=0.280832 t=942
kan qing kuang 	看情況	c=1 d=0.158025 t=942
kan shang qu 	看上去	c=0 d=0.0100259 t=942
kan shang qu ta men 	看上去他們	c=1 d=0.100761 t=942
kao wo 	靠我	c=1 d=0.0765355 t=942
ke 	可	c=1 d=0.847894 t=942
ke neng fa 	可能發	c=-1 d=0 t=942
ke xi 	柯西	c=1 d=0.794534 t=942
ke yi 	可以	c=3 d=1.46943 t=942
ke yong 	可用	c=1 d=0.425283 t=942
kuai su 	快速	c=1 d=0.904837 t=942
kuan du 	寬度	c=2 d=1.84191 t=942
kuang 	框	c=1 d=0.986318 t=942
lai 	來	c=0 d=0.0429557 t=942
lai qi 	賴其	c=1 d=0.0692522 t=942
lang fei 	浪費	c=1 d=0.529935 t=942
lang fei shi jian 	浪費時間	c=1 d=0.640824 t=942
le 	了	c=9 d=2.7519 t=942
li 	裏	c=1 d=1.02458 t=942
li qi 	力氣	c=1 d=0.647265 t=942
lian xu 	連續	c=3 d=2.6439 t=942
lian xu xing 	連續性	c=1 d=0.970446 t=942
liao 	聊	c=1 d=0.752014 t=942
ling dian 	零點	c=1 d=0.941765 t=942
lo 	咯	c=2 d=0.158573 t=942
lu 	擼	c=1 d=0.250324 t=942
mai le 	買了	c=0 d=0.0995012 t=942
man 	蠻	c=1 d=0.106556 t=942
man bu cuo 	蠻不錯	c=1 d=0.102797 t=942
me 	麼	c=0 d=0.124828 t=942
me ban fa 	麼辦法	c=1 d=0.231078 t=942
mei 	沒	c=1 d=0.384812 t=942
mei ban fa 	沒辦法	c=0 d=0.0852144 t=942
mei bi yao 	沒必要	c=1 d=0.179964 t=942
mei you 	沒有	c=5 d=2.30058 t=942
men 	們	c=2 d=0.212282 t=942
mi 	冪	c=0 d=0.0364219 t=942
mi han shu 	冪函數	c=1 d=0.366045 t=942
mian shi 	面試	c=1 d=0.0992613 t=942
ming ming 	明明	c=1 d=0.666977 t=942
ming que 	明確	c=1 d=0.138069 t=942
mou xie ren 	某些人	c=1 d=0.219808 t=942
mu di 	目的	c=1 d=0.70822 t=942
na 	那	c=2 d=1.12189 t=942
na er 	哪兒	c=0 d=0.0822835 t=942
na er li 	哪兒裏	c=1 d=0.826959 t=942
na ge 	那個	c=0 d=0.00753961 t=942
na mei ban fa 	那沒辦法	c=1 d=0.856415 t=942
na shi 	那是	c=2 d=0.314401 t=942
na tian 	那天	c=1 d=0.0987662 t=942
na xie 	那些	c=1 d=0.275271 t=942
na zhong 	那種	c=3 d=1.5965 t=942
nan 	難	c=1 d=0.460704 t=942
nan yi 	難以	c=1 d=0.12493 t=942
ne 	呢	c=2 d=0.626802 t=942
nei rong 	內容	c=1 d=0.715338 t=942
neng 	能	c=2 d=0.231195 t=942
neng li 	能力	c=8 d=2.12599 t=942
neng shuo hui dao 	能說會道	c=1 d=0.08291 t=942
ni 	你	c=9 d=6.34925 t=942
ni 	鬩	c=1 d=0.99005 t=942
ni cai 	你才	c=1 d=0.860708 t=942
ni ha 	你哈	c=-1 d=0 t=942
ni hao 	你好	c=10 d=8.45267 t=942
ni hao 	禰好	c=-1 d=0.960789 t=942
ni hao ya 	你好呀	c=2 d=1.75315 t=942
ni hong 	霓虹	c=-1 d=0 t=942
ni jin tan 	你金壇	c=1 d=0.99005 t=942
ni shi 	你是	c=2 d=1.86503 t=942
ni shi 	尼是	c=-1 d=0.927743 t=942
ni shi ge 	你是個	c=2 d=1.70456 t=942
ni shi ge zhu 	你是個豬	c=1 d=1 t=942
ni shi gu yi de 	你是故意的	c=1 d=0.995012 t=942
ni shi zhu 	你石柱	c=1 d=0.985112 t=942
ni shuo 	你說	c=1 d=0.99005 t=942
niu pi 	牛皮	c=1 d=0.980199 t=942
nong le 	弄了	c=1 d=0.254107 t=942
nong wan 	弄彎	c=1 d=0.308819 t=942
nv sheng 	女生	c=2 d=1.93131 t=942
pai chi 	排斥	c=1 d=0.554327 t=942
pai lie 	排列	c=2 d=1.96042 t=942
pao tang 	泡湯	c=1 d=0.414783 t=942
pei zhi 	配置	c=1 d=0.985112 t=942
pin yin 	拼音	c=2 d=1.8426 t=942
ping bi 	屏蔽	c=1 d=0.909373 t=942
ping gu 	評估	c=1 d=0.369723 t=942
ping pang qiu 	乒乓球	c=2 d=0.705895 t=942
qi 	其	c=1 d=0.506617 t=942
qi shi 	其實	c=1 d=0.438235 t=942
qi ta ren 	其他人	c=1 d=0.465334 t=942
qie huan 	切換	c=2 d=1.86537 t=942
qing 	晴	c=2 d=0.30549 t=942
qing kuang 	情況	c=1 d=0.895834 t=942
qing qing cao yuan 	青青草原	c=1 d=0.224249 t=942
qu 	去	c=1 d=0.22313 t=942
qu yu 	趨於	c=2 d=1.05198 t=942
que 	卻	c=1 d=0.680451 t=942
que shi 	確實	c=2 d=0.434156 t=942
qun 	羣	c=0 d=0.0941765 t=942
ran hou 	然後	c=2 d=0.446661 t=942
rang ni 	讓你	c=1 d=0.882497 t=942
