# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8552
#@/user_id	Mac-squirrel
chi zao 	遲早	c=1 d=3.53635e-07 t=8552
chong 	衝	c=1 d=5.87485e-08 t=8552
chong fu 	重複	c=5 d=0.0100362 t=8552
chong gou 	重構	c=1 d=3.43476e-17 t=8552
chong qi 	充氣	c=3 d=1.08386e-05 t=8552
chong qi 	重啓	c=11 d=0.548279 t=8552
chong she 	重設	c=1 d=4.97008e-11 t=8552
chong tu 	衝突	c=4 d=4.04107e-08 t=8552
chong wu 	寵物	c=1 d=1.63849e-15 t=8552
chong xian 	重現	c=1 d=6.87523e-05 t=8552
chong xin 	重新	c=6 d=0.0656772 t=8552
chong zhuang 	重裝	c=2 d=0.0650974 t=8552
chong zuo 	重做	c=1 d=1.08683e-09 t=8552
chou ji 	籌集	c=1 d=5.30206e-07 t=8552
chu 	出	c=2 d=0.657047 t=8552
chu bu 	初步	c=3 d=0.000429184 t=8552
chu fa 	除法	c=1 d=7.8947e-14 t=8552
chu lai 	出來	c=1 d=0.024972 t=8552
chu lai de 	出來的	c=2 d=0.0502874 t=8552
chu le 	除了	c=1 d=1.01563e-06 t=8552
chu li 	處理	c=6 d=8.28875e-05 t=8552
chu ping 	觸屏	c=1 d=1.29446e-07 t=8552
chu xian 	出現	c=1 d=0.0678809 t=8552
chu zu fang 	出租房	c=1 d=2.99071e-06 t=8552
chuan 	串	c=1 d=9.15021e-15 t=8552
chuan 	傳	c=6 d=0.555014 t=8552
chuan 	穿	c=1 d=2.2568e-17 t=8552
chuang jian 	創建	c=4 d=0.0927751 t=8552
chuang shang 	牀上	c=1 d=0.442639 t=8552
chui 	吹	c=2 d=6.91094e-17 t=8552
chun cui 	純粹	c=1 d=1.45272e-11 t=8552
chun qing 	純情	c=1 d=7.54603e-12 t=8552
ci 	詞	c=1 d=0.860708 t=8552
ci ci 	此次	c=1 d=3.77642e-15 t=8552
ci shu 	次數	c=2 d=4.42369e-15 t=8552
cong 	從	c=1 d=0.161714 t=8552
cong xian zai 	從現在	c=1 d=0.337902 t=8552
cui 	催	c=2 d=5.14711e-11 t=8552
cun zai 	存在	c=6 d=0.000296122 t=8552
cuo 	錯	c=1 d=3.26613e-13 t=8552
cuo de 	錯的	c=1 d=3.2757e-18 t=8552
cuo wu 	錯誤	c=4 d=6.57323e-05 t=8552
da 	大	c=1 d=1.74734e-07 t=8552
da 	打	c=3 d=0.00152353 t=8552
da an 	答案	c=1 d=0.0702988 t=8552
da bu kai 	打不開	c=2 d=1.47429e-05 t=8552
da dao 	達到	c=4 d=0.000617396 t=8552
da de 	打得	c=1 d=3.44963e-09 t=8552
da duo 	大多	c=1 d=9.30937e-12 t=8552
da fu 	答覆	c=1 d=0.697676 t=8552
da gai 	大概	c=1 d=1.43777e-07 t=8552
da ge 	大哥	c=9 d=4.2357e-05 t=8552
da gu 	大股	c=1 d=5.1197e-07 t=8552
da jing xiao guai 	大驚小怪	c=1 d=6.71233e-17 t=8552
da kai 	打開	c=4 d=0.00146038 t=8552
da kai le 	打開了	c=1 d=1.39263e-14 t=8552
da lao 	大佬	c=24 d=0.0717491 t=8552
da nao 	大腦	c=6 d=2.74752 t=8552
da ri zhi 	打日誌	c=1 d=5.99251e-06 t=8552
da san 	大三	c=1 d=1.09246e-11 t=8552
da shen 	大神	c=2 d=3.5569e-17 t=8552
da shi 	大師	c=1 d=8.05692e-18 t=8552
da shui 	大水	c=1 d=5.84555e-08 t=8552
da suan 	打算	c=1 d=0.287941 t=8552
da ti 	大體	c=1 d=1.14512e-06 t=8552
da wan 	打完	c=1 d=0.0515605 t=8552
da xiao 	大小	c=5 d=0.132487 t=8552
da xue 	大學	c=2 d=2.51041e-11 t=8552
da yi 	大一	c=1 d=1.0762e-11 t=8552
da yin 	打印	c=7 d=9.40461e-06 t=8552
da yin ji 	打印機	c=1 d=6.2694e-08 t=8552
da zi 	打字	c=1 d=3.82099e-06 t=8552
dai 	帶	c=1 d=0.527292 t=8552
dai 	待	c=1 d=1.90696e-07 t=8552
dai bu dong 	待不懂	c=1 d=1.91652e-06 t=8552
dai hui 	待會	c=1 d=2.0061e-14 t=8552
dai hui er 	待會兒	c=1 d=2.04662e-14 t=8552
dai kuan 	帶寬	c=1 d=2.24516e-15 t=8552
dai le 	帶了	c=1 d=7.79464e-11 t=8552
dai ma 	代碼	c=42 d=0.624957 t=8552
dai ma ping shen 	代碼評審	c=1 d=0.625002 t=8552
dan 	但	c=2 d=0.00923273 t=8552
dan 	單	c=15 d=0.000974376 t=8552
dan ge 	單個	c=1 d=1.57398e-13 t=8552
dan hao 	單號	c=2 d=0.000194515 t=8552
dan ji 	單機	c=2 d=1.95629e-12 t=8552
dan jia 	單價	c=1 d=4.62447e-16 t=8552
dan shi 	但是	c=8 d=0.00532847 t=8552
